203.190.250.174, 38040, [38040]
12.122.2.50, 7018, [7018]
200.40.98.28, 6057, [6057]
192.240.191.189, None, None
52.94.33.4, 16509, [16509]
150.99.89.185, None, [2907]
62.140.29.66, 8893, [3356]
64.125.28.102, 6461, [6461]
52.94.35.41, 16509, [16509]
91.135.160.113, 39878, [39878]
185.84.18.82, 30844, [2914]
212.227.120.106, 8560, [8560]
2001:1420:d::2, None, [8676]
212.119.27.138, 32787, [2914]
2607:fad0:31:1000::c, None, [32244]
185.43.204.64, 62214, [62214]
129.250.3.123, 2914, [2914]
2a01:390:c:2017::17, None, [29405]
129.250.7.78, 2914, [2914]
2a00:1f78:af:c::2, None, [8893]
2001:7fa:7:2::6939:1, None, [-389]
146.97.33.2, 786, [786]
2620:0:2830:203::157, None, [16876]
103.41.61.37, None, None
2001:dcd:3::6, None, [134396]
100.99.0.0, None, [0]
87.245.249.251, 34288, [9002]
94.125.133.237, 48961, [48961]
197.243.126.182, 37228, [327899]
2001:67c:10:1101::3, None, [60149]
2607:f740:15:4::2, None, [36236]
193.34.104.100, 15389, None
2a01:5a8::1:0, None, [8866]
77.234.49.181, None, None
199.109.11.33, 3754, None
2a00:e400:2:1000::2, None, [35258]
96.110.32.10, None, [7922]
2001:728:0:5000::1b6, None, [2914]
2001:d18:0:6::1, None, None
185.100.209.10, 200612, [200612]
129.250.2.190, 2914, [2914]
150.99.91.167, None, [2907]
213.248.89.119, 9009, [1299]
62.115.123.12, 1299, [1299]
2a01:5a8::1:2, None, [8866]
185.5.172.105, None, [3223]
216.239.191.166, 23314, None
184.105.64.178, 6939, [6939]
203.131.241.58, None, [2914]
89.149.139.222, 4436, [3257]
81.26.160.50, 12843, [12843]
157.240.34.2, 32934, [32934]
129.250.195.2, 12008, None
2a01:618:400::1, None, [43519]
2a02:2178:0:a4::1, None, [29075]
154.54.43.69, 174, [174]
2001:4b98:af::c1d1:162, None, None
216.221.157.89, None, [3257]
2606:d680:4508:4::2, None, [4508]
61.211.190.130, 10010, None
154.54.86.94, None, [174]
2600:0:3:1239:144:232:25:96, None, [1239]
2001:8d8:0:2::d1, None, [8560]
2405:2000:ff10:100::6, None, [6453]
213.140.52.69, 12956, [12956]
150.99.68.231, 2907, [2907]
2001:728:0:2000::1f2, None, [2914]
62.78.107.17, 16086, [16086]
129.250.203.218, 3223, [2914]
201.125.36.125, 8151, [0]
210.4.208.100, 9733, None
2a01:7c8:f:43::2, None, [20857]
195.175.172.84, 9121, [9121]
82.195.67.222, None, None
4.69.159.42, None, [3356]
213.157.192.10, 16010, None
2001:728:0:5000::906, None, [2914]
173.255.239.5, 63949, None
64.69.96.228, 6983, [7029]
2001:7f8:4::3fdb:1, None, [-437]
207.88.12.190, 12083, [2828]
2001:470:0:18e::1, None, [6939]
