111.69.7.186, 23655, [23655], {1299, 23655}, 241.0
2a00:800:0:1::f:2e, None, [1257], {1257}, 45.0
2001:200:180:566::2, None, [2500], {2500}, 59.0
2607:fd48:ffff:fffe::27:2, None, [13536], {13536}, 51.0
2001:218:2000:5000::112, None, [2914], {2914, 9299}, 57.0
240e:0:a::cb:3acc, None, [4134], {6939, 4134}, 237.0
129.250.6.129, None, [2914], {2914}, 248.0
62.254.85.62, 5089, [5089], {5089}, 239.0
103.52.117.104, None, [63956], {63956}, 244.0
129.250.6.92, 2914, [2914], {2914, 6453}, 245.20909090909092
2001:200:180:5::5, None, [2500], {2500}, 60.0
129.250.3.69, None, [2914], {2914}, 243.0
2001:418:0:2000::ce, None, [2914], {7922, 3257, 2914, 1299}, 55.0
2001:200:0:fe00::3b41:0, None, [-574], {15169, -574, 2500}, 58.97260273972603
2a01:4b40:4002:1::2, None, [35566], {35168, 21282, 35566}, 43.0
2001:4860:0:1001::1, None, [15169], {15169, -574, -396}, 57.68
2a00:11c0:0:3::143, None, [42473], {42473, 47147}, 49.0
67.231.196.230, 23314, [23314], {23314}, 237.0
2607:f060:c013:2::1, None, [11404], {11404}, 49.0
182.76.23.106, None, [9498], {0, 9498, 137109}, 239.0
180.149.98.172, 45204, [45204], {45204}, 240.0
95.59.172.39, 9198, [9198], {9198}, 235.0
80.231.245.5, None, [6453], {6453}, 242.0
2a01:2b0:0:51::f, None, [12552], {12552, 9201}, 47.0
2a01:3e0:ff40:100::15, None, [6453], {6453}, 50.0
2001:728:0:5000::f66, None, [2914], {2914, 13237}, 51.0
2001:2000:3019:76::1, None, [1299], {1299}, 46.0
4.69.140.153, 3356, [3356], {2914, 3356}, 243.0
2001:418:0:4000::7e, None, [2914], {2914, 5511}, 53.0
2403:4440:ffff:204::1, None, [9367], set(), nan
2001:550:0:1000::9a36:1fbd, None, [174], {2914, 174}, 53.0
103.1.77.33, None, [0], {0, 4826}, 243.0
2001:504:b:10::13, None, [0], {0, 22388, 293}, 54.5
195.2.31.6, 1273, [1273], {1273}, 233.0
116.51.31.118, 17557, [2914], {2914, 17557}, 239.0
2604:6840:1000::24, None, [0], {0, 12989}, 47.0
81.212.203.229, None, [9121], {9121}, 50.0
2402:4f00:100::266, None, [58453], {58453}, 48.0
2001:a08:5000::65, None, [39326], {39326}, 49.0
2001:730:2800::5474:801b, None, [6830], {6830}, 42.0
150.99.64.29, None, [2907], {2907, 7660}, 248.0
2001:1a10:0:bb:8781::c0, None, [8781], {8781}, 47.0
2001:550:0:1000::9a36:2fe6, None, [174], {174}, 50.0
2001:7f8:87::3, None, [-51], {197451, 2852, -51}, 46.0
150.99.92.8, None, [2907], {2907, 1103}, 246.0
2804:a8::200:244:28:50, None, [4230], {6453, 4230}, 45.0
2a00:dd80:3e:11::2, None, [36236], {3257, 36236}, 54.0
2001:1900:5:2:2::1a06, None, [3356], {2914, 3356, 20485}, 49.0
2001:504:b:10::8, None, [0], {0, 11537, 22388}, 55.25
78.28.193.99, 43513, [5518], {1299, 5518}, 239.0
154.54.58.70, 174, [174], {174}, 242.0
103.1.76.164, None, [0], {0}, 241.0
2001:550:0:1000::9a36:2891, None, [174], {2914, 174}, 53.0
129.250.2.182, 2914, [2914], {2914}, 247.0
2604:d600:ff0c:62::10:26, None, [32098], {32098}, 49.0
2001:4958:1580:1::22, None, [577], {577}, 47.0
4.69.218.126, None, [3356], {-396, 2914, 3356}, 244.0
2001:470:0:4b4::1, None, [6939], {6939}, 54.0
2800:c30:b5d1::1b5, None, [52361], {52361, 3549}, 45.0
202.97.12.34, None, [4134], {4134}, 246.0
2408:8000:2:36a::1, None, [4837], {4837}, 51.0
168.143.229.58, 22773, [2914], {2914, 22773}, 246.0
2001:7fa:7:1::9002:1, None, [-390], {-390, 2907, 9002}, 59.0
180.149.48.22, 55824, [55824], {55824, 23855}, 244.0
202.97.94.145, 4134, [4134], {4812, 4134}, 245.0
2001:688:0:3:8::fd, None, [5511], {5511}, 48.0
4.69.148.18, None, [3356], {2914, 3356}, 239.0
