2001:2000:3080:1499::2, None, [1299], {1299, 12252}, 56.0
2001:1670:9::71, None, [28885], set(), nan
61.122.123.46, None, [17506], {2497, 17506}, 248.29241877256317
64.125.54.230, None, [6461], {6461}, 245.0
62.115.136.124, None, [1299], {1299}, 242.0
2a01:390:c:2017::31, None, [29405], {29405}, 242.0
216.156.16.169, 2828, [2828], {2497, 2828}, 246.0
172.16.16.10, None, [0], set(), nan
2a00:1a58:0:10::52, None, [20904], {20904, 47605}, 54.0
64.57.29.131, None, [11164], {0, 2497, 11164}, 243.0
122.1.245.209, None, [4713], {4713, 7521}, 246.0
50.86.11.229, 11272, [11272], {11272, 3356}, 241.0
46.33.81.98, 4436, [3257], set(), nan
89.149.187.233, 4436, [3257], {3257}, 245.72222222222223
2001:688:0:2:4::bf, None, [5511], {701, 5511}, 52.166666666666664
27.86.40.237, 2516, [2516], {2516}, 248.0
2001:240:bb00:a01c::7d, None, [2497], {2497}, 57.99196787148595
188.254.15.133, 12389, [12389], {12389}, 245.32871972318338
1.213.150.169, 3786, [3786], {3786}, 247.0
62.214.38.63, 8881, [8881], {8881, 1299}, 246.0
195.2.20.129, 1273, [1273], {1273}, 247.0
2a00:17a0:1:109::2, None, [34867], {34867}, 55.0
221.183.55.54, 9808, [9808], {9808, 58453}, 243.66666666666666
2001:240:bb00:a07d::74, None, [2497], {2497}, 57.0
64.125.29.201, 6461, [6461], {15290, 6461}, 246.0
2001:4cd0:10:601::2, None, [8551], {8551}, 53.0
64.127.128.185, 19151, [19151], {19151}, 239.0
177.74.225.33, 263652, [263652], {263652, 1239}, 245.0
2001:240:bb00:9164::77, None, [2497], {2497, -247}, 60.0
195.50.90.173, None, [3356], {2497, 43996, 3356}, 63.0
2001:4388:60:35::1, None, [8452], {8452, 3356}, 51.0
2001:4860:0:1::7ca, None, [15169], {15169}, 56.0
2001:438:fffe::1a56, None, [6461], {6461}, 53.0
111.91.120.209, 38457, [38457], {38457}, 241.0
2001:438:ffff::407d:1d17, None, [6461], {6461}, 51.0
204.15.10.109, 13331, [13331], {13331}, 246.0
2a0d:f400::100, None, [47950], {3257, 47950}, 54.0
2003:0:1306:8000::1, None, [3320], {3320, 2497}, 57.5
62.115.51.150, 4739, [1299], {1299, 4739}, 242.0103626943005
202.47.79.43, 17671, [17671], {23947, 17671}, 246.0
2001:4888:18:1002:1b1:1:0:1, None, [6167], {701, 6167}, 54.0
2001:8f8:0:10:0:21:55:2, None, [8966], {8966}, 49.0
83.231.233.142, 10474, [2914], {2914, 10474}, 247.0
2001:240:bb01:64::17, None, [2497], {2497, 10010}, 58.793103448275865
61.94.177.21, None, [17974], {17974}, 246.0
2804:43f8:0:2:13::1, None, [267613], {52989, 267613}, 48.0
2407:7a80:22:3:167:219:61:2, None, [30337], {30337, 703}, 50.0
202.97.16.29, 4134, [4134], {4837, 4134}, 243.0
2001:470:0:2a0::2, None, [6939], {-390, 6939, 3599}, 56.53293098924167
64.125.29.12, None, [6461], set(), nan
69.174.126.169, None, [3257], {3257, 5580, 2497, 59105}, 249.33496145920782
64.125.30.247, 6461, [6461], {6461}, 248.98453608247422
2001:240:bb02:1c::1d4, None, [2497], {2497}, 55.8
82.112.96.178, 30781, [2914], {2914, 30781}, 249.0
2a01:378:0:2::a1, None, [39180], {39180, 3356}, 56.0
2a02:587:6006:8900::, None, [6799], set(), nan
213.249.107.93, None, [3356], {8473, 3356, 2497}, 250.5
2600:300:2050:109::1, None, [0], {0, 7018}, 242.0
213.249.107.90, None, [3356], {3356, 16086}, 241.0
2407:8800:bf00:83::2, None, [7545], {7545}, 56.0
2404:8e01:feed:114::b, None, [55392], {55392, 2497}, 58.0
155.12.0.90, 37084, [37084], {37084, 6453}, 239.66666666666666
129.250.6.125, 2914, [2914], {137065, 2914}, 245.98979591836735
129.143.57.10, 553, [553], {553}, 243.0
195.219.129.42, None, [6453], {6453}, 240.0
118.70.1.171, None, [18403], {2497, 18403}, 249.0
62.154.18.114, 3320, [3320], {3320, 2497}, 247.0
182.72.79.126, 134000, [9498], {9498, -254}, 247.0
2001:1900:5:2:2::59ba, None, [3356], {3356, 51468}, 57.0
72.14.242.38, None, [15169], {15169, 2497}, 55.75
2001:728:1807::4, None, [2914], {2914, 43350}, 53.0
10.30.1.2, None, [0], {0, 26617, 2497}, 252.0
185.57.191.228, None, [201971], {201971, 20860}, 52.0
62.115.137.227, 1299, [1299], {1299}, 244.9375
2001:df4:e800::3, None, [133453], {45204, 133453}, 53.0
62.155.242.208, None, [3320], set(), nan
213.254.231.110, 4436, [3257], {3257}, 246.56
211.7.77.193, 10010, [10010], set(), nan
64.125.29.231, None, [6461], {6461}, 245.33333333333334
2001:45bf::192:72:250:72, None, [4780], {4780}, 56.0
85.95.27.94, 15412, [15412], {15412}, 245.5
4.69.217.214, None, [3356], {59105, 3356}, 245.0
63.223.17.90, 3491, [3491], {3491}, 248.5
219.121.253.221, 18121, [18121], {18121}, 243.0
185.29.103.132, None, [51859], {51859}, 241.5625
189.17.71.14, None, [4230], {4230}, 241.0
2a03:4680::34, None, [25184], {25184, 24631}, 45.0
2401:7000:0:a4::2, None, [45177], {38064, 45177}, 55.0
240e::21:31:3a03, None, [4134], {134764, 4134}, 48.0
2a01:578:0:11::15, None, [16509], {16509}, 47.0
130.117.2.65, 174, [174], {174}, 242.0
46.29.176.105, 51405, [51405], {24611, 51405}, 55.0
209.85.244.35, 15169, [15169], {15169}, 247.0
2a07:1f40::5, None, [28725], {2914, 28725}, 54.0
129.250.4.232, 2914, [2914], {2914}, 244.0
200.186.206.66, None, [3549], {13357, 3549}, 242.0
137.164.11.30, 2152, [2152], {2152}, 243.0
62.115.8.203, None, [1299], {7473, 1299}, 248.0
212.3.237.65, None, [3356], {3356, 8677}, 251.0
213.19.194.157, None, [3356], {2497, 3356, 50673}, 245.0
2804:954:0:9::1, None, [263073], {263073}, 47.0
2001:240:bb41:1001::edfa, None, [2497], {2497, 10010}, 59.71288056206089
2600:802::71, None, [701], {701}, 56.0
170.238.235.59, None, [37468], {37468}, 244.0
105.16.28.2, 37100, [37100], {37100}, 240.0
89.149.181.34, 4436, [3257], {8928, 2497, 5580, 36236, 3257}, 248.6578947368421
2001:1900:5:2:2::59b9, None, [3356], set(), nan
58.138.80.69, None, [2497], {2497, 2914, 1239}, 249.9516129032258
202.232.1.134, None, [2497], {2497, 1299}, 247.49406175771972
82.135.16.241, 8767, [8767], {2914, 3356, 8767}, 241.0121951219512
2a00:17f0:102:1:10:70:60:196, None, [33808], {33808, 3356, 50533}, 56.0
192.199.223.246, 40784, [40784], {40784}, 51.0
202.224.52.11, None, [4685], set(), nan
219.158.113.113, 4837, [4837], {4837}, 244.0
2001:668:0:2:ffff:0:d5fe:d68a, None, [3257], {3257}, 54.0
61.211.176.81, 10010, [10010], {2497, 10010}, 252.0
92.60.104.193, 45014, [45014], {45014}, 232.0
154.24.46.2, 174, [174], {174}, 240.0
213.248.95.42, 59469, [1299], {1299}, 245.0
2404:a600:0:a111:2020:9300:9:5213, None, [23816], {23816, 2497}, 58.0
195.2.21.185, None, [1273], {1273, 29614}, 247.69230769230768
81.95.15.70, 201011, [201011], {201011, 3356, 205614}, 244.02061855670104
2a00:11c0::1:0:0:292, None, [42473], {42473}, 49.0
2001:67c:1220:f750::7109, None, [197451], {197451}, 48.0
2620:0:1cff:dead:beef::2385, None, [32934], {32934}, 55.0
2001:218:0:2000::4e, None, [2914], {2914}, 53.57142857142857
129.250.4.182, 2914, [2914], {2914}, 245.5
2001:240:bb00:80a6::186, None, [2497], {2497}, 57.0
43.247.129.242, None, [24516], {24516}, 243.0
96.127.249.166, 1403, [1403], {1403, 6453}, 245.0
163.237.254.18, 19255, [19255], {2828, 19255}, 245.5
66.198.154.78, 20454, [6453], {6453}, 57.0
2804:238:0:2::401, None, [23106], {23106}, 46.0
2804:11dc:40c0:1050::2, None, [263444], {263444, 16735}, 50.0
167.142.58.40, None, [5056], {5056}, 245.0
129.250.2.213, 2914, [2914], {2914}, 242.5185185185185
2003:0:8701:6000::1, None, [3320], {3320, 2497}, 63.0
2001:468:e00:801::2, None, [2153], set(), nan
208.116.159.162, None, [3257], {3257, 40676}, 246.75
80.231.158.18, 8426, [6453], {8426, 6453}, 241.0
2001:418:0:2000::f6, None, [2914], {2914}, 57.333333333333336
2404:8e00:feed:117::a, None, [55391], {2497, 55391}, 58.36363636363637
